Balanced Accuracy,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Model Year
0.655,0.851,0.8056666666666666,0.42249882183736787,0.31297709923664124,0.41,0.354978354978355,0
0.6191399002185296,0.874,0.7339160791104881,0.27043734761485827,0.25773195876288657,0.31645569620253167,0.28409090909090906,0
0.6195151179941003,0.876,0.7389034845132743,0.3229131409006291,0.3372093023255814,0.3020833333333333,0.31868131868131866,0
0.6573369565217392,0.884,0.7692866847826088,0.31536913674335404,0.3163265306122449,0.3875,0.3483146067415731,0
0.6491934102818783,0.865,0.7768663447157812,0.44787169448116637,0.33035714285714285,0.38144329896907214,0.35406698564593303,0
0.6262952335405707,0.895,0.728306498751262,0.2913382845712604,0.3424657534246575,0.3048780487804878,0.3225806451612903,0
0.6278209396966333,0.864,0.7597786970705949,0.36244335116122783,0.32038834951456313,0.3333333333333333,0.32673267326732675,0
0.6214949978864309,0.867,0.7557242496829646,0.32125077372800376,0.30303030303030304,0.3191489361702128,0.31088082901554404,0
0.6350479351032449,0.862,0.7566659752949852,0.3839680297877853,0.3090909090909091,0.3541666666666667,0.33009708737864074,0
0.6760104681593486,0.874,0.7806397208490841,0.42195112181198935,0.36283185840707965,0.43157894736842106,0.3942307692307692,0
0.6582672404595085,0.879,0.7692084266932223,0.32630408965581953,0.36,0.3870967741935484,0.37305699481865284,0
0.6686379950418727,0.895,0.781904068871101,0.32722362235748687,0.4069767441860465,0.39325842696629215,0.4,0
0.6614591636112439,0.878,0.8096670917689568,0.33486406415801595,0.3113207547169811,0.4024390243902439,0.35106382978723405,0
0.631069733479372,0.877,0.7279462678299404,0.3073948591628685,0.30851063829787234,0.3333333333333333,0.32044198895027626,0
0.6927777777777778,0.879,0.7808444444444445,0.4582014823753218,0.40707964601769914,0.46,0.431924882629108,0
0.6289638643067846,0.851,0.7130865136430679,0.3219186187653688,0.2809917355371901,0.3541666666666667,0.3133640552995392,0
