Balanced Accuracy,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Model Year
0.6229946524064172,0.831,0.7185282346214643,0.24690514969715804,0.2535211267605634,0.36363636363636365,0.2987551867219917,0
0.6235515064333094,0.827,0.7002717174138896,0.2914935558281341,0.24324324324324326,0.3711340206185567,0.2938775510204082,0
0.5872838520883213,0.818,0.6764884277733438,0.2520084827272511,0.22302158273381295,0.29523809523809524,0.2540983606557377,0
0.6659588504514905,0.843,0.7662832089500956,0.2442998024548144,0.24,0.45569620253164556,0.314410480349345,0
0.653163308440186,0.838,0.7362500587102532,0.2644775041686918,0.2702702702702703,0.425531914893617,0.3305785123966942,0
0.6358830720455675,0.817,0.7188973521944142,0.21764239048168968,0.2,0.41975308641975306,0.27091633466135456,0
0.6142667331008138,0.82,0.7103004069091513,0.27776929966420455,0.25675675675675674,0.35185185185185186,0.296875,0
0.6268983905771108,0.835,0.7231957558515099,0.2623982157346435,0.2054794520547945,0.379746835443038,0.2666666666666667,0
0.6200804153973285,0.825,0.6726957658579904,0.2749207054365698,0.21710526315789475,0.3707865168539326,0.27385892116182575,0
0.6650031191515908,0.832,0.7025629028904138,0.208955682226752,0.24074074074074073,0.4642857142857143,0.3170731707317073,0
0.6368787689748389,0.83,0.6881758161779996,0.26162414157830516,0.22077922077922077,0.40476190476190477,0.28571428571428575,0
0.6905618157116599,0.84,0.7856286604788163,0.30786068471957334,0.30434782608695654,0.5051546391752577,0.37984496124031003,0
0.6563963884086241,0.866,0.7758641072246605,0.26425025740251706,0.24793388429752067,0.410958904109589,0.309278350515464,0
0.6765973380983038,0.849,0.7921653900224671,0.3196048091294762,0.2671232876712329,0.46987951807228917,0.34061135371179035,0
0.6899710703953713,0.833,0.7735390549662488,0.29944540036361317,0.25882352941176473,0.5176470588235295,0.3450980392156863,0
0.6231178504921522,0.837,0.750316573556797,0.2894296232608158,0.2803030303030303,0.3523809523809524,0.3122362869198312,0
0.6308108108108108,0.827,0.6701981981981981,0.22465038923411895,0.189873417721519,0.4,0.25751072961373395,0
0.6395572158203537,0.809,0.7346671731881305,0.27199265544828294,0.2571428571428571,0.42452830188679247,0.32028469750889677,0
0.6396825396825396,0.818,0.7174114774114774,0.226225599500341,0.2261904761904762,0.4222222222222222,0.29457364341085274,0
0.637927953930098,0.834,0.6850011682403552,0.196582143164241,0.2119205298013245,0.4050632911392405,0.2782608695652174,0
0.6675075795284855,0.835,0.7138049232996968,0.2736196236502048,0.28662420382165604,0.45918367346938777,0.35294117647058826,0
0.6860779946722564,0.842,0.7560701340669898,0.3234530041373583,0.32051282051282054,0.49019607843137253,0.38759689922480617,0
0.669815668202765,0.865,0.7663287250384023,0.27987114079956754,0.2440944881889764,0.44285714285714284,0.3147208121827411,0
0.6178728070175439,0.818,0.7058350777511961,0.2097460220120414,0.20625,0.375,0.26612903225806445,0
0.6428913929513307,0.837,0.7297267984153623,0.2716204579793654,0.2708333333333333,0.4020618556701031,0.32365145228215764,0
0.6634599754695512,0.844,0.7965598262180253,0.2676078044120135,0.2214765100671141,0.4520547945205479,0.29729729729729726,0
0.638121546961326,0.831,0.7119046234370456,0.292294092992408,0.25333333333333335,0.4,0.3102040816326531,0
0.6584121453459433,0.835,0.7335682610072856,0.305208261584479,0.28104575163398693,0.4387755102040816,0.3426294820717131,0
0.6602700096432015,0.847,0.7607650273224043,0.2710480758922225,0.2605633802816901,0.43529411764705883,0.32599118942731276,0
0.6771735969758651,0.842,0.7860889793544634,0.366758809745017,0.29411764705882354,0.47368421052631576,0.3629032258064516,0
0.6555975574294853,0.82,0.7601279441698169,0.2546212642978979,0.25146198830409355,0.45263157894736844,0.3233082706766917,0
0.6359460851648352,0.835,0.7466571514423077,0.2693914338374062,0.28368794326241137,0.38461538461538464,0.326530612244898,0
0.6277777777777778,0.818,0.7115555555555556,0.2582246713772141,0.24375,0.39,0.3,0
0.6281572663370665,0.816,0.7414825278310295,0.3273682557637181,0.2392638036809816,0.3939393939393939,0.29770992366412213,0
0.6435205170266036,0.84,0.7349005291135806,0.2573720394439453,0.2517482517482518,0.4044943820224719,0.3103448275862069,0
0.6503189792663476,0.821,0.7412280701754385,0.28453188900237963,0.23076923076923078,0.4431818181818182,0.30350194552529186,0
0.6938888888888889,0.833,0.7866666666666666,0.37103331355789615,0.30409356725146197,0.52,0.38376383763837635,0
0.6617899303803855,0.828,0.7309330822094418,0.3333480919501362,0.27607361963190186,0.45454545454545453,0.3435114503816794,0
0.6764852472089314,0.85,0.7554699960127591,0.36967463907432513,0.2847222222222222,0.4659090909090909,0.35344827586206895,0
0.6438275621924627,0.847,0.7913598429062347,0.3467780813397287,0.2878787878787879,0.3917525773195876,0.331877729257642,0
0.6504321220216689,0.834,0.7605918416275645,0.27619082913247184,0.271523178807947,0.422680412371134,0.33064516129032256,0
0.6727118082908061,0.841,0.7724423742165292,0.29129841295997905,0.29605263157894735,0.4639175257731959,0.3614457831325301,0
0.6284472130296541,0.832,0.6775679709298554,0.17169680285306838,0.16883116883116883,0.3939393939393939,0.23636363636363636,0
0.6344947950452537,0.815,0.7222942987468982,0.28472812391624464,0.2682926829268293,0.4036697247706422,0.32234432234432236,0
0.6537151848198769,0.839,0.7249424639519044,0.30165759444315654,0.272108843537415,0.425531914893617,0.33195020746887965,0
0.6984730941427497,0.857,0.7640634442950702,0.2797674227804192,0.3125,0.5056179775280899,0.3862660944206009,0
0.66,0.828,0.7328555555555556,0.3044227293872952,0.2777777777777778,0.45,0.34351145038167935,0
0.6738888888888889,0.845,0.7636055555555555,0.29150638278868746,0.3129251700680272,0.46,0.3724696356275304,0
0.6579053576833821,0.821,0.7244700052691173,0.2662192030209882,0.2647058823529412,0.45454545454545453,0.33457249070631967,0
0.6661617584895025,0.827,0.7185078202057208,0.29839635941750736,0.2634730538922156,0.46808510638297873,0.3371647509578544,0
0.6433889343339142,0.817,0.7258360896729144,0.27429515229364876,0.23529411764705882,0.43010752688172044,0.3041825095057034,0
0.6459827833572453,0.819,0.7367089112067591,0.23376478352256522,0.21052631578947367,0.43902439024390244,0.2845849802371542,0
0.6601876905161489,0.835,0.7318160541608156,0.3092758082398463,0.2792207792207792,0.44329896907216493,0.3426294820717131,0
0.6488231240706488,0.82,0.7386090257377387,0.33418676099893163,0.23668639053254437,0.43956043956043955,0.30769230769230765,0
0.6591609543546416,0.833,0.7679074339763006,0.2941700106828074,0.23270440251572327,0.45121951219512196,0.3070539419087137,0
0.648276179941003,0.827,0.7383734328908556,0.27990045094290783,0.2578616352201258,0.4270833333333333,0.3215686274509804,0
0.6086961310146588,0.81,0.711147699864536,0.2779552770499594,0.2236024844720497,0.3564356435643564,0.2748091603053435,0
0.6286066866826115,0.841,0.7268205180397944,0.27188570111895083,0.23357664233576642,0.37209302325581395,0.2869955156950673,0
0.6494675051487351,0.828,0.7155420213879009,0.3103366705940798,0.27388535031847133,0.42574257425742573,0.3333333333333333,0
0.6777168460259212,0.854,0.7855591748099892,0.3079553746280943,0.2624113475177305,0.46835443037974683,0.33636363636363636,0
0.6612278761061947,0.842,0.7683962481563421,0.35557598280993863,0.2876712328767123,0.4375,0.34710743801652894,0
0.6447193402500665,0.823,0.7435488161745145,0.29592698585585503,0.275,0.41904761904761906,0.33207547169811324,0
0.6315027365959934,0.823,0.7372203623997025,0.22114860173088746,0.20496894409937888,0.4024390243902439,0.2716049382716049,0
0.6350974120383832,0.817,0.6672637394591451,0.26428709391258254,0.23493975903614459,0.4105263157894737,0.2988505747126437,0
0.6537686797346125,0.833,0.7316412987372688,0.2490940025474991,0.24358974358974358,0.4367816091954023,0.3127572016460905,0
0.6291435333811736,0.845,0.7499968526142186,0.23871497163564442,0.24242424242424243,0.367816091954023,0.29223744292237447,0
0.7176149952722621,0.858,0.7922854441292617,0.418707191500212,0.2866666666666667,0.5512820512820513,0.3771929824561404,0
0.6692934782608696,0.843,0.7541032608695653,0.2785247047541763,0.24503311258278146,0.4625,0.3203463203463203,0
0.6508112094395281,0.84,0.7257616611356932,0.32105932807682197,0.2777777777777778,0.4166666666666667,0.33333333333333337,0
0.6815919272365265,0.844,0.7668899045205666,0.3380559217422262,0.3092105263157895,0.47959183673469385,0.376,0
0.6800420833521879,0.833,0.7755102040816326,0.372038912798242,0.2909090909090909,0.4897959183673469,0.36501901140684406,0
0.6611721611721612,0.848,0.730030525030525,0.3282417400779458,0.2785714285714286,0.43333333333333335,0.3391304347826087,0
0.6449575958702065,0.821,0.7258135140117995,0.32812114673869996,0.24848484848484848,0.4270833333333333,0.31417624521072796,0
